"","ID","URL","SIZE","DATA","TIME","DATASET"
"210979","X0979","http://www.uci.ch/english/health_sante/index.htm","10863","12/07/2002","17:41:31","Sport"
"210978","X0978","http://baseball1.com/general","14384","12/07/2002","17:41:31","Sport"
"210977","X0977","http://safehockey.com/college.html","9876","12/07/2002","17:41:30","Sport"
"210976","X0976","http://www.hockeyphreak.com/boston.html","41165","12/07/2002","17:41:30","Sport"
"210975","X0975","http://www.akcoach.com/devjumpshot.htm","10905","12/07/2002","17:41:29","Sport"
"210974","X0974","http://www.inbnews.com/index.html","5496","12/07/2002","17:41:29","Sport"
"210973","X0973","http://www.hawaiianwind.com/kiting/8.htm","5574","12/07/2002","17:41:28","Sport"
"210972","X0972","http://tennisfame.org/tennislinks.html","25876","12/07/2002","17:41:28","Sport"
"210971","X0971","http://www.basketballamerica.com/show_feature.html?article_id","52284","12/07/2002","17:41:27","Sport"
"210970","X0970","http://www.mensracing.com/news/01octresults.html","34771","12/07/2002","17:41:26","Sport"
"210969","X0969","http://www.worldwidecycling.com/turkey-mtb.htm","17323","12/07/2002","17:41:25","Sport"
"210968","X0968","http://www.baggressive.com/twinpeaks02.htm","5145","12/07/2002","17:41:25","Sport"
"210967","X0967","http://www.ofah.org/index.cfm?Section","12958","12/07/2002","17:41:25","Sport"
"210966","X0966","http://www.watersports-extreme.com/cgi-bin/forum/YaBB.pl?board","7478","12/07/2002","17:41:24","Sport"
"210965","X0965","http://www.cyberhorse.net.au/barnes/che171101/index.htm","12550","12/07/2002","17:41:23","Sport"
"210964","X0964","http://www.pga.com/instruction/","18730","12/07/2002","17:41:23","Sport"
"210963","X0963","http://www.imba.com/contacts/near_you.html","18717","12/07/2002","17:41:22","Sport"
"210962","X0962","http://www.powerbasketball.com/basicadv.htm","22497","12/07/2002","17:41:22","Sport"
"210961","X0961","http://www.doordarshan.now.com/tours/report.sps?iEventId","21797","12/07/2002","17:41:22","Sport"
"210960","X0960","http://www.eteamz.com/nohitter/sponsors/nohitter/links/","21083","12/07/2002","17:41:21","Sport"
"210959","X0959","http://www.sas.it.mtu.edu/~dkwalika/frisbee/BeerCity.html","1017","12/07/2002","17:41:19","Sport"
"210958","X0958","http://www.wfdf.org/recreg.htm","9869","12/07/2002","17:41:19","Sport"
"210957","X0957","http://www.bbhighway.com/Talk/Coach%20Library/Reviews/Videos/sgreenberg_1-3-1_half-court_review.asp","22027","12/07/2002","17:41:18","Sport"
"210956","X0956","http://www.areaiii.equinebiz.com/bulletin.html","9058","12/07/2002","17:41:17","Sport"
"210955","X0955","http://www.huntguide.com/deerhvnfees.htm","9879","12/07/2002","17:41:17","Sport"
"210954","X0954","http://www.uci.ch/data_2002/mtb/world_cup/olntv.htm","11108","12/07/2002","17:41:17","Sport"
"210953","X0953","http://www.baseball1.com/","14384","12/07/2002","17:41:17","Sport"
"210952","X0952","http://www.safehockey.com/college.html","9876","12/07/2002","17:41:17","Sport"
"210951","X0951","http://www.hockeyphreak.com/hockeyphreakcgi/ads/ads.pl?banner","41643","12/07/2002","17:41:17","Sport"
"210950","X0950","http://www.akcoach.com/nordland5.html","11031","12/07/2002","17:41:15","Sport"
"210949","X0949","http://www.inbnews.com/events.html","5593","12/07/2002","17:41:15","Sport"
"210948","X0948","http://www.hawaiianwind.com/wall.htm","5624","12/07/2002","17:41:13","Sport"
"210947","X0947","http://www.tennisfame.com/tennistournamentsLha.html","25949","12/07/2002","17:41:13","Sport"
"210946","X0946","http://www.basketballamerica.com/show_feature.html?article_id","52431","12/07/2002","17:41:09","Sport"
"210945","X0945","http://www.mensracing.com/news/01decnews.html","35028","12/07/2002","17:41:08","Sport"
"210944","X0944","http://www.worldwidecycling.com/turkei-mtb.htm","17571","12/07/2002","17:41:08","Sport"
"210943","X0943","http://www.baggressive.com/muehlacker02.htm","5153","12/07/2002","17:41:08","Sport"
"210942","X0942","http://www.ofah.org/index.cfm?Section","12991","12/07/2002","17:41:08","Sport"
"210941","X0941","http://www.watersports-extreme.com/cgi-bin/forum/YaBB.pl?board","7481","12/07/2002","17:41:07","Sport"
"210940","X0940","http://www.cyberhorse.net.au/barnes/che280701/index.htm","12555","12/07/2002","17:41:06","Sport"
"210939","X0939","http://www.pga.com/Newsline/Tour_News/tournews_detail.cfm?ID","18756","12/07/2002","17:41:06","Sport"
"210938","X0938","http://www.imba.com/tcc/kudos.html","19030","12/07/2002","17:41:03","Sport"
"210937","X0937","http://www.powerbasketball.com/061302.html","22692","12/07/2002","17:41:03","Sport"
"210936","X0936","http://www.doordarshan.now.com/news/fullstory.sps?iNewsId","21814","12/07/2002","17:41:02","Sport"
"210935","X0935","http://www.eteamz.com/nohitter/sponsors/nohitter/albums/","21083","12/07/2002","17:41:00","Sport"
"210934","X0934","http://www.sas.it.mtu.edu/~dkwalika/frisbee/links.html","1073","12/07/2002","17:41:00","Sport"
"210933","X0933","http://www.wfdf.org/wgteams.htm","10260","12/07/2002","17:41:00","Sport"
"210932","X0932","http://www.bbhighway.com/Talk/Coaching_Box/Clinics/Five-Star/slash_individual_post_workouts.asp","22063","12/07/2002","17:40:59","Sport"
"210931","X0931","http://www.areaiii.equinebiz.com/guest.html","9795","12/07/2002","17:40:58","Sport"
"210930","X0930","http://www.huntguide.com/oct98.htm","10154","12/07/2002","17:40:58","Sport"
"210929","X0929","http://www.uci.ch/english/sport.htm","12574","12/07/2002","17:40:58","Sport"
"210928","X0928","http://baseball1.com/bb-data/bbd-run.html","14974","12/07/2002","17:40:58","Sport"
"210927","X0927","http://safehockey.com/Robert Cushman","11251","12/07/2002","17:40:57","Sport"
"210926","X0926","http://www.fieldhockeytournament.com/store/top","769","12/07/2002","17:40:57","Sport"
"210925","X0925","http://www.hockeyphreak.com/links//Fantasy_Hockey/","41894","12/07/2002","17:40:56","Sport"
"210924","X0924","http://www.akcoach.com/pressurem2m.html","11222","12/07/2002","17:40:44","Sport"
"210923","X0923","http://www.inbnews.com/showcase/index.html","5669","12/07/2002","17:40:44","Sport"
"210922","X0922","http://www.hawaiianwind.com/kiting/2.htm","5691","12/07/2002","17:40:43","Sport"
"210921","X0921","http://quiz.tennisfame.com/calendar.html","26006","12/07/2002","17:40:43","Sport"
"210920","X0920","http://www.basketballamerica.com/show_feature.html?article_id","52730","12/07/2002","17:40:42","Sport"
"210919","X0919","http://www.mensracing.com/news/02worldcrossrk.html","35882","12/07/2002","17:40:41","Sport"
"210918","X0918","http://www.worldwidecycling.com/news.htm","24464","12/07/2002","17:40:40","Sport"
"210917","X0917","http://www.baggressive.com/discus/messages/147/147.html","5202","12/07/2002","17:40:40","Sport"
"210916","X0916","http://www.ofah.org/index.cfm?Section","13004","12/07/2002","17:40:40","Sport"
"210915","X0915","http://www.watersports-extreme.com/cgi-bin/forum/YaBB.pl?board","7481","12/07/2002","17:40:34","Sport"
"210914","X0914","http://www.cyberhorse.net.au/barnes/vip081201/index.htm","12616","12/07/2002","17:40:34","Sport"
"210913","X0913","http://www.pga.com/tour/stats/ryder04.html","18765","12/07/2002","17:40:34","Sport"
"210912","X0912","http://www.imba.com/about/achievements.html","19045","12/07/2002","17:40:34","Sport"
"210911","X0911","http://www.powerbasketball.com/m-may.html","23382","12/07/2002","17:40:34","Sport"
"210910","X0910","http://www.doordarshan.now.com/tours/report.sps?iEventId","21865","12/07/2002","17:40:33","Sport"
"210909","X0909","http://www.eteamz.com/nohitter/links/admin2/","21083","12/07/2002","17:40:32","Sport"
"210908","X0908","http://www.sas.it.mtu.edu/~dkwalika/frisbee/nationals97.html","1275","12/07/2002","17:40:31","Sport"
"210907","X0907","http://www.wfdf.org/wfdfadot.htm","10268","12/07/2002","17:40:31","Sport"
"210906","X0906","http://www.bbhighway.com/Talk/Coaching_Box/Clinics/WinHoops/p_suessmuth.asp","22450","12/07/2002","17:40:30","Sport"
"210905","X0905","http://www.areaiii.equinebiz.com/newsletter.html","10018","12/07/2002","17:40:29","Sport"
"210904","X0904","http://www.huntguide.com/safarinordik.htm","10400","12/07/2002","17:40:27","Sport"
"210903","X0903","http://www.uci.ch/english/masters/calendar_2001/index.htm","13084","12/07/2002","17:40:27","Sport"
"210902","X0902","http://baseball1.com/bb-data/bbd-yng.html","16594","12/07/2002","17:40:27","Sport"
"210901","X0901","http://safehockey.com/Illinois Incident","11251","12/07/2002","17:40:27","Sport"
"210900","X0900","http://www.fieldhockeytournament.com/store/ship","769","12/07/2002","17:40:27","Sport"
"210899","X0899","http://www.hockeyphreak.com/toronto.html","41902","12/07/2002","17:40:26","Sport"
"210898","X0898","http://www.akcoach.com/funddefskills.html","12169","12/07/2002","17:40:11","Sport"
"210897","X0897","http://www.inbnews.com/wwwboard/messages/11257.html","5676","12/07/2002","17:40:11","Sport"
"210896","X0896","http://www.hawaiianwind.com/kiting/1.htm","5692","12/07/2002","17:40:10","Sport"
"210895","X0895","http://tennisfame.org/calendar.html","26006","12/07/2002","17:40:10","Sport"
"210894","X0894","http://www.basketballamerica.com/show_feature.html?article_id","52980","12/07/2002","17:40:09","Sport"
"210893","X0893","http://www.mensracing.com/photos.html","36696","12/07/2002","17:40:08","Sport"
"210892","X0892","http://www.worldwidecycling.com/korea.htm","26437","12/07/2002","17:40:07","Sport"
"210891","X0891","http://www.baggressive.com/discus/messages/147/147.html?SundayApril2220010625am","5202","12/07/2002","17:40:07","Sport"
"210890","X0890","http://www.ofah.org/index.cfm?Section","13070","12/07/2002","17:40:07","Sport"
"210889","X0889","http://www.watersports-extreme.com/cgi-bin/forum/YaBB.pl?board","7490","12/07/2002","17:40:06","Sport"
"210888","X0888","http://www.cyberhorse.net.au/barnes/mop070701/index.htm","12640","12/07/2002","17:40:05","Sport"
"210887","X0887","http://www.pga.com/Tour/PGAofAmerica/RyderCup04/eligibility.html","19317","12/07/2002","17:40:05","Sport"
"210886","X0886","http://www.imba.com/resources/trail_building/trailbuilding_basics_index.html","19305","12/07/2002","17:40:04","Sport"
"210885","X0885","http://www.powerbasketball.com/tcoast1.html","23897","12/07/2002","17:40:04","Sport"
"210884","X0884","http://www.doordarshan.now.com/news/fullstory.sps?iNewsID","21976","12/07/2002","17:40:03","Sport"
"210883","X0883","http://www.eteamz.com/nohitter/links/nohitter/links/","21083","12/07/2002","17:40:01","Sport"
"210882","X0882","http://www.sas.it.mtu.edu/~dkwalika/frisbee/casino.html","1318","12/07/2002","17:40:00","Sport"
"210881","X0881","http://www.wfdf.org/wfdfcomm.htm","10410","12/07/2002","17:40:00","Sport"
"210880","X0880","http://www.bbhighway.com/talk/coach%20library/reviews/videos/dmeyer_jkrause_abs-vol1_bb_body_control.asp","23644","12/07/2002","17:39:59","Sport"
"210879","X0879","http://www.areaiii.equinebiz.com/newsletters.html","10018","12/07/2002","17:39:58","Sport"
"210878","X0878","http://www.huntguide.com/images/images_eagleridge/eagleridge_trophies.html","10527","12/07/2002","17:39:58","Sport"
"210877","X0877","http://www.uci.ch/data_2002/mtb/teams/index.htm","13260","12/07/2002","17:39:58","Sport"
"210876","X0876","http://baseball1.com/statistics/p-1988n.html","17780","12/07/2002","17:39:58","Sport"
"210875","X0875","http://safehockey.com/Spinal injuries in Finland & Sweden","11251","12/07/2002","17:39:57","Sport"
"210874","X0874","http://www.fieldhockeytournament.com/country","769","12/07/2002","17:39:57","Sport"
"210873","X0873","http://www.hockeyphreak.com/nyr.html","42697","12/07/2002","17:39:56","Sport"
"210872","X0872","http://www.akcoach.com/nordland1.html","12736","12/07/2002","17:39:55","Sport"
"210871","X0871","http://www.inbnews.com/wwwboard/messages/11240.html","5840","12/07/2002","17:39:55","Sport"
"210870","X0870","http://www.hawaiianwind.com/kiting/5.htm","5697","12/07/2002","17:39:54","Sport"
"210869","X0869","http://www.tennisfame.com/tennischampionshipsLha.html","26509","12/07/2002","17:39:54","Sport"
"210868","X0868","http://www.basketballamerica.com/show_feature.html?article_id","53148","12/07/2002","17:39:53","Sport"
"210867","X0867","http://www.mensracing.com/athletes/interviews/billrodgers.html","37431","12/07/2002","17:39:52","Sport"
"210866","X0866","http://www.worldwidecycling.com/hokkaido2000.htm","26585","12/07/2002","17:39:51","Sport"
"210865","X0865","http://www.baggressive.com/discus/messages/147/150.html?FridayMay520000916am","5216","12/07/2002","17:39:51","Sport"
"210864","X0864","http://www.ofah.org/index.cfm?Section","13085","12/07/2002","17:39:51","Sport"
"210863","X0863","http://www.watersports-extreme.com/cgi-bin/forum/Search.pl","7616","12/07/2002","17:39:50","Sport"
"210862","X0862","http://www.cyberhorse.net.au/barnes/vip260102/index.htm","12892","12/07/2002","17:39:48","Sport"
"210861","X0861","http://www.pga.com/tour/pgaofamerica/rydercup01/team/love.html","19454","12/07/2002","17:39:48","Sport"
"210860","X0860","http://www.imba.com/resources/wilderness/nca_nra.html","20069","12/07/2002","17:39:48","Sport"
"210859","X0859","http://www.powerbasketball.com/donchu.html","24034","12/07/2002","17:39:48","Sport"
"210858","X0858","http://www.doordarshan.now.com/news/fullstory.sps?iNewsid","22017","12/07/2002","17:39:47","Sport"
"210857","X0857","http://www.eteamz.com/nohitter/links/nohitter/albums/","21083","12/07/2002","17:39:45","Sport"
"210856","X0856","http://www.sas.it.mtu.edu/~dkwalika/frisbee/history2.html","1435","12/07/2002","17:39:44","Sport"
"210855","X0855","http://www.wfdf.org/WG2001.htm","11458","12/07/2002","17:39:44","Sport"
"210854","X0854","http://www.bbhighway.com/Talk/Coach%20Library/Reviews/Software/ProPracticePlanner_review.asp","23698","12/07/2002","17:39:44","Sport"
"210853","X0853","http://www.areaiii.equinebiz.com/news.html","10077","12/07/2002","17:39:43","Sport"
"210852","X0852","http://www.huntguide.com/easternshore.html","10714","12/07/2002","17:39:43","Sport"
"210851","X0851","http://www.uci.ch/data_2002/mtb/world_cup/index.htm","13623","12/07/2002","17:39:42","Sport"
"210850","X0850","http://baseball1.com/statistics/p-1992n.html","18658","12/07/2002","17:39:42","Sport"
"210849","X0849","http://safehockey.com/Preventing spinal cord injuries","11251","12/07/2002","17:39:42","Sport"
"210848","X0848","http://www.fieldhockeytournament.com/top","769","12/07/2002","17:39:42","Sport"
"210847","X0847","http://www.hockeyphreak.com/links//Hockey_Shopping/","43155","12/07/2002","17:39:41","Sport"
"210846","X0846","http://www.akcoach.com/press.html","12923","12/07/2002","17:39:40","Sport"
"210845","X0845","http://www.inbnews.com/wwwboard/messages/11178.html","5849","12/07/2002","17:39:40","Sport"
"210844","X0844","http://www.hawaiianwind.com/kiting/3.htm","5698","12/07/2002","17:39:39","Sport"
"210843","X0843","http://tennisfame.org/newport_guide.html","26523","12/07/2002","17:39:39","Sport"
"210842","X0842","http://www.basketballamerica.com/show_feature.html?article_id","53269","12/07/2002","17:39:39","Sport"
"210841","X0841","http://www.mensracing.com/athletes/interviews/khalidkhannouchi.html","37730","12/07/2002","17:39:38","Sport"
"210840","X0840","http://www.worldwidecycling.com/hokkaido_20001.htm","26933","12/07/2002","17:39:37","Sport"
"210839","X0839","http://www.baggressive.com/content/path.htm","5238","12/07/2002","17:39:37","Sport"
"210838","X0838","http://www.ofah.org/index.cfm?Section","13132","12/07/2002","17:39:37","Sport"
"210837","X0837","http://watersports-extreme.com/games/memory.html","7841","12/07/2002","17:39:36","Sport"
"210836","X0836","http://www.cyberhorse.net.au/barnes/vip120102/index.htm","13081","12/07/2002","17:39:36","Sport"
"210835","X0835","http://www.pga.com/Newsline/Tour_News/index.cfm?startpos","19527","12/07/2002","17:39:35","Sport"
"210834","X0834","http://www.imba.com/tcc/2001/alaska.html","20227","12/07/2002","17:39:32","Sport"
"210833","X0833","http://www.powerbasketball.com/theywin.html","24146","12/07/2002","17:39:32","Sport"
"210832","X0832","http://www.doordarshan.now.com/news/fullstory.sps?iNewsID","22019","12/07/2002","17:39:31","Sport"
"210831","X0831","http://www.eteamz.com/nohitter/links/nohitter/news/","21083","12/07/2002","17:39:29","Sport"
"210830","X0830","http://www.sas.it.mtu.edu/~dkwalika/frisbee/1994.html","1521","12/07/2002","17:39:28","Sport"
"210829","X0829","http://www.wfdf.org/wfdfcomm-2001.htm","11509","12/07/2002","17:39:28","Sport"
"210828","X0828","http://www.bbhighway.com/Contact_Center/News_Events_Wire/collegiate.asp","24458","12/07/2002","17:39:27","Sport"
"210827","X0827","http://www.areaiii.equinebiz.com/clinics.html","10381","12/07/2002","17:39:26","Sport"
"210826","X0826","http://www.huntguide.com/niobrara.htm","10739","12/07/2002","17:39:26","Sport"
"210825","X0825","http://www.uci.ch/data_2003/cyclox/calendar/index.htm","14118","12/07/2002","17:39:26","Sport"
"210824","X0824","http://baseball1.com/statistics/p-1987n.html","18660","12/07/2002","17:39:26","Sport"
"210823","X0823","http://safehockey.com/Spine Injuries - CA","11251","12/07/2002","17:39:25","Sport"
"210822","X0822","http://www.fieldhockeytournament.com/faq","769","12/07/2002","17:39:25","Sport"
"210821","X0821","http://www.hockeyphreak.com/links//Hockey_Schools/","43869","12/07/2002","17:39:24","Sport"
"210820","X0820","http://www.geocities.com/SouthBeach/Lights/2981/truck1.htm","694","12/07/2002","17:39:23","Sport"
"210819","X0819","http://www.akcoach.com/playingtime.html","12945","12/07/2002","17:39:23","Sport"
"210818","X0818","http://www.inbnews.com/wwwboard/messages/11264.html","5862","12/07/2002","17:39:23","Sport"
"210817","X0817","http://www.hawaiianwind.com/kiting/7.htm","5703","12/07/2002","17:39:22","Sport"
"210816","X0816","http://tennisfame.com/lawn_racquet/racquet/membership.html","26824","12/07/2002","17:39:22","Sport"
"210815","X0815","http://www.basketballamerica.com/show_feature.html?article_id","53279","12/07/2002","17:39:22","Sport"
"210814","X0814","http://www.mensracing.com/news/01febnews.html","39535","12/07/2002","17:39:21","Sport"
"210813","X0813","http://www.worldwidecycling.com/malaysia2000.htm","27562","12/07/2002","17:39:20","Sport"
"210812","X0812","http://www.baggressive.com/calgary01.htm","5243","12/07/2002","17:39:20","Sport"
"210811","X0811","http://www.ofah.org/index.cfm?Section","13145","12/07/2002","17:39:20","Sport"
"210810","X0810","http://www.watersports-extreme.com/surfing/beginners.html","7981","12/07/2002","17:39:19","Sport"
"210809","X0809","http://www.cyberhorse.net.au/barnes/vip040801/index.htm","13167","12/07/2002","17:39:19","Sport"
"210808","X0808","http://www.pga.com/Newsline/Tour_News/","19672","12/07/2002","17:39:19","Sport"
"210807","X0807","http://www.imba.com/about/report.html","20320","12/07/2002","17:39:17","Sport"
"210806","X0806","http://www.powerbasketball.com/2ndyear.html","24335","12/07/2002","17:39:17","Sport"
"210805","X0805","http://www.doordarshan.now.com/news/fullstory.sps?iNewsId","22044","12/07/2002","17:39:16","Sport"
"210804","X0804","http://www.eteamz.com/nohitter/albums/admin2/","21083","12/07/2002","17:39:14","Sport"
"210803","X0803","http://www.sas.it.mtu.edu/~dkwalika/frisbee/video.html","1799","12/07/2002","17:39:13","Sport"
"210802","X0802","http://www.wfdf.org/schedules.htm","11998","12/07/2002","17:39:13","Sport"
"210801","X0801","http://www.bbhighway.com/talk/coach%20library/reviews/videos/dmeyer_jkrause_abs-vol2_bb_scoring.asp","24473","12/07/2002","17:39:12","Sport"
"210800","X0800","http://www.areaiii.equinebiz.com/times.html","10736","12/07/2002","17:39:11","Sport"
"210799","X0799","http://www.huntguide.com/deer.htm","11464","12/07/2002","17:39:11","Sport"
"210798","X0798","http://www.uci.ch/english/touring/golden_bike/index.htm","14505","12/07/2002","17:39:11","Sport"
"210797","X0797","http://baseball1.com/statistics/p-1991n.html","18660","12/07/2002","17:39:11","Sport"
"210796","X0796","http://safehockey.com/Shoot for a Cure","11251","12/07/2002","17:39:11","Sport"
"210795","X0795","http://www.fieldhockeytournament.com/posture","769","12/07/2002","17:39:10","Sport"
"210794","X0794","http://www.hockeyphreak.com/games.html","44435","12/07/2002","17:39:10","Sport"
"210793","X0793","http://www.geocities.com/SouthBeach/Lights/2981/truck4.htm","722","12/07/2002","17:39:07","Sport"
"210792","X0792","http://www.akcoach.com/asstcoach.html","13688","12/07/2002","17:39:06","Sport"
"210791","X0791","http://www.inbnews.com/wwwboard/post.html","5991","12/07/2002","17:39:06","Sport"
"210790","X0790","http://www.hawaiianwind.com/kiting/6.htm","5703","12/07/2002","17:39:04","Sport"
"210789","X0789","http://tennisfame.org/lawn_racquet/racquet/membership.html","26824","12/07/2002","17:39:04","Sport"
"210788","X0788","http://www.basketballamerica.com/show_feature.html?article_id","53404","12/07/2002","17:39:04","Sport"
"210787","X0787","http://www.mensracing.com/news/02ncaaindoorquotes.html","40239","12/07/2002","17:39:03","Sport"
"210786","X0786","http://www.worldwidecycling.com/malaysien2000.htm","27970","12/07/2002","17:39:02","Sport"
"210785","X0785","http://www.baggressive.com/content/us.htm","5399","12/07/2002","17:39:02","Sport"
"210784","X0784","http://www.ofah.org/index.cfm?Section","13298","12/07/2002","17:39:02","Sport"
"210783","X0783","http://watersports-extreme.com/surfing/beginners.html","7981","12/07/2002","17:39:01","Sport"
"210782","X0782","http://www.cyberhorse.net.au/barnes/vip011201/index.htm","13176","12/07/2002","17:39:01","Sport"
"210781","X0781","http://www.pga.com/Newsline/Tour_News/index.cfm","19672","12/07/2002","17:39:01","Sport"
"210780","X0780","http://www.imba.com/resources/trail_building/tool_guide.html","20412","12/07/2002","17:39:01","Sport"
"210779","X0779","http://www.powerbasketball.com/tcoast.html","24628","12/07/2002","17:39:00","Sport"
"210778","X0778","http://www.doordarshan.now.com/tours/report.sps?iEventId","22092","12/07/2002","17:39:00","Sport"
"210777","X0777","http://www.eteamz.com/nohitter/albums/nohitter/","21083","12/07/2002","17:38:59","Sport"
"210776","X0776","http://www.sas.it.mtu.edu/~dkwalika/frisbee/fortieth.html","2166","12/07/2002","17:38:58","Sport"
"210775","X0775","http://www.wfdf.org/ultimateresults.htm","12372","12/07/2002","17:38:58","Sport"
"210774","X0774","http://www.bbhighway.com/Contact_Center/HoopsUSA/hoopsUSA_index.asp","24582","12/07/2002","17:38:57","Sport"
"210773","X0773","http://www.areaiii.equinebiz.com/cgi-local/ikonboard/ikonboard.cgi/forums.cgi%3fforum","10739","12/07/2002","17:38:56","Sport"
"210772","X0772","http://www.huntguide.com/safarinordik_nz.htm","11676","12/07/2002","17:38:54","Sport"
"210771","X0771","http://www.uci.ch/english/mtb/world_cup/index_2001.htm","15724","12/07/2002","17:38:54","Sport"
"210770","X0770","http://baseball1.com/statistics/p-1989n.html","18980","12/07/2002","17:38:54","Sport"
"210769","X0769","http://safehockey.com/General","11251","12/07/2002","17:38:53","Sport"
"210768","X0768","http://www.fieldhockeytournament.com/speed","769","12/07/2002","17:38:53","Sport"
"210767","X0767","http://www.hockeyphreak.com/forumfaq.html","44643","12/07/2002","17:38:52","Sport"
"210766","X0766","http://www.geocities.com/SouthBeach/Lights/2981/truck5.htm","723","12/07/2002","17:38:42","Sport"
"210765","X0765","http://www.akcoach.com/handbook.html","14215","12/07/2002","17:38:42","Sport"
"210764","X0764","http://www.inbnews.com/wwwboard/messages/11237.html","6033","12/07/2002","17:38:42","Sport"
"210763","X0763","http://www.hawaiianwind.com/kayaking.htm","5712","12/07/2002","17:38:41","Sport"
"210762","X0762","http://tennisfame.org/enshrinees/anderson.html","26961","12/07/2002","17:38:41","Sport"
"210761","X0761","http://www.basketballamerica.com/show_feature.html?article_id","53526","12/07/2002","17:38:41","Sport"
"210760","X0760","http://www.mensracing.com/athletes/interviews/andydownin.html","40514","12/07/2002","17:38:40","Sport"
"210759","X0759","http://www.worldwidecycling.com/malaysia2001.htm","28767","12/07/2002","17:38:39","Sport"
"210758","X0758","http://www.baggressive.com/twinpeaks01.htm","5687","12/07/2002","17:38:39","Sport"
"210757","X0757","http://www.ofah.org/index.cfm?Section","13312","12/07/2002","17:38:39","Sport"
"210756","X0756","http://www.watersports-extreme.com/cgi-bin/forum/YaBB.pl?board","8012","12/07/2002","17:38:38","Sport"
"210755","X0755","http://www.cyberhorse.net.au/barnes/mop140701/index.htm","13223","12/07/2002","17:38:37","Sport"
"210754","X0754","http://www.pga.com/industry/index.cfm?startpos","19731","12/07/2002","17:38:37","Sport"
"210753","X0753","http://www.imba.com/support/index.html","20801","12/07/2002","17:38:35","Sport"
"210752","X0752","http://www.powerbasketball.com/archives.html","26478","12/07/2002","17:38:35","Sport"
"210751","X0751","http://www.doordarshan.now.com/news/fullstory.sps?iNewsId","22230","12/07/2002","17:38:34","Sport"
"210750","X0750","http://www.eteamz.com/nohitter/locations/nohitter/albums/","21083","12/07/2002","17:38:33","Sport"
"210749","X0749","http://www.sas.it.mtu.edu/~dkwalika/frisbee/97hallrelease.html","2308","12/07/2002","17:38:32","Sport"
"210748","X0748","http://www.wfdf.org/2001CongressMin.htm","12631","12/07/2002","17:38:32","Sport"
"210747","X0747","http://www.bbhighway.com/Talk/Coach%20Library/Reviews/Videos/dbliss_4-man_flex_review.asp","26284","12/07/2002","17:38:31","Sport"
"210746","X0746","http://www.areaiii.equinebiz.com/cgi-local/ikonboard/ikonboard.cgi/forums.cgi%3fforum","10739","12/07/2002","17:38:30","Sport"
"210745","X0745","http://www.huntguide.com/grandisland.html","11776","12/07/2002","17:38:25","Sport"
"210744","X0744","http://www.uci.ch/english/road/world_cup/index_2001.htm","16056","12/07/2002","17:38:25","Sport"
"210743","X0743","http://baseball1.com/statistics/p-1994n.html","20019","12/07/2002","17:38:25","Sport"
"210742","X0742","http://www.safehockey.com/Robert Cushman","11251","12/07/2002","17:38:25","Sport"
"210741","X0741","http://www.fieldhockeytournament.com/components","769","12/07/2002","17:38:24","Sport"
